t=2023-06-20T22:19:18+0000 lvl=info msg="no configuration paths supplied"
t=2023-06-20T22:19:18+0000 lvl=info msg="using configuration at default config path" path=/home/flick/.config/ngrok/ngrok.yml
t=2023-06-20T22:19:18+0000 lvl=info msg="open config file" path=/home/flick/.config/ngrok/ngrok.yml err=nil
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=4727fc7023a9 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=0a311681cedd l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=21647356ac42 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=399cd5704793 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:30+0000 lvl=info msg="join connections" obj=join id=43314f60b0d5 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=f53ecbcd4ff8 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=fbf0bb9cc3c9 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=e466212bcd30 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=7959d8747462 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=b0a276e15e49 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=2ddde2398ed7 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=7d09dbb3c3f3 l=127.0.0.1:8080 r=185.15.38.11:11504
t=2023-06-20T22:23:40+0000 lvl=info msg="join connections" obj=join id=8a1c6b46f980 l=127.0.0.1:8080 r=185.15.38.11:11504
